n,metodo,tempo_us
10000,selecao,96362
10000,insercao,386056
10000,merge,0
20000,selecao,391811
20000,insercao,1584944
20000,merge,0
30000,selecao,892718
30000,insercao,3561389
30000,merge,15623
40000,selecao,1585038
40000,insercao,6367363
40000,merge,15641
50000,selecao,2494721
50000,insercao,10007583
50000,merge,31243
60000,selecao,3575424
60000,insercao,14415865
60000,merge,31262
70000,selecao,4863913
70000,insercao,19605840
70000,merge,31260
80000,selecao,6397716
80000,insercao,25679205
80000,merge,46880
90000,selecao,8092787
90000,insercao,32499180
90000,merge,46914
100000,selecao,9955590
100000,insercao,40141258
100000,merge,70301
