n,metodo,tempo_us
10000,selecao,103460
10000,insercao,15626
10000,merge,0
100000,selecao,9927091
100000,insercao,204297
100000,merge,46882
20000,selecao,391863
20000,insercao,46866
20000,merge,15675
30000,selecao,893776
30000,insercao,62485
30000,merge,15641
40000,selecao,1599858
40000,insercao,93695
40000,merge,32941
50000,selecao,2478533
50000,insercao,109369
50000,merge,31239
60000,selecao,3562617
60000,insercao,109371
60000,merge,31243
70000,selecao,4907723
70000,insercao,140558
70000,merge,32640
80000,selecao,6354888
80000,insercao,156211
80000,merge,31261
90000,selecao,8123393
90000,insercao,187477
90000,merge,46881
